區間,strategy,tp_r,tol_fvg,總損益_pct,勝率,單數,sharpe,max_drawdown,profit_factor
2023-07-01~2024-01-01,smc,1.05,0.002,-0.067675,0.2222,9,-5.370173577410954,0.0,0.4434689819900833
2023-07-01~2024-01-01,smc,1.05,0.003,-0.067675,0.2222,9,-5.370173577410954,0.0,0.4434689819900833
2023-07-01~2024-01-01,smc,1.05,0.004,-0.067675,0.2222,9,-5.370173577410954,0.0,0.4434689819900833
2023-07-01~2024-01-01,smc,1.05,0.005,-0.067675,0.2222,9,-5.370173577410954,0.0,0.4434689819900833
2023-07-01~2024-01-01,smc,1.1,0.002,-0.067675,0.2222,9,-2.8224773460725117,0.0,0.6056266485326868
2023-07-01~2024-01-01,smc,1.1,0.003,-0.067675,0.2222,9,-2.8224773460725117,0.0,0.6056266485326868
2023-07-01~2024-01-01,smc,1.1,0.004,-0.067675,0.2222,9,-2.8224773460725117,0.0,0.6056266485326868
2023-07-01~2024-01-01,smc,1.1,0.005,-0.067675,0.2222,9,-2.8224773460725117,0.0,0.6056266485326868
2023-07-01~2024-01-01,smc,1.15,0.002,-0.216675,0.125,8,-10.157897266213299,0.0,0.022231928553910308
2023-07-01~2024-01-01,smc,1.15,0.003,-0.216675,0.125,8,-10.157897266213299,0.0,0.022231928553910308
2023-07-01~2024-01-01,smc,1.15,0.004,-0.216675,0.125,8,-10.157897266213299,0.0,0.022231928553910308
2023-07-01~2024-01-01,smc,1.15,0.005,-0.216675,0.125,8,-10.157897266213299,0.0,0.022231928553910308
2023-07-01~2024-01-01,smc,1.2,0.002,-0.266675,0.125,8,-9.311628052664199,0.0,0.01813918564527259
2023-07-01~2024-01-01,smc,1.2,0.003,-0.266675,0.125,8,-9.311628052664199,0.0,0.01813918564527259
2023-07-01~2024-01-01,smc,1.2,0.004,-0.266675,0.125,8,-9.311628052664199,0.0,0.01813918564527259
2023-07-01~2024-01-01,smc,1.2,0.005,-0.266675,0.125,8,-9.311628052664199,0.0,0.01813918564527259
2023-07-01~2024-01-01,smc_loose,1.05,0.002,-4.389083,0.1222,221,-13.202199607048911,0.0,0.16165661285997546
2023-07-01~2024-01-01,smc_loose,1.05,0.003,-4.744672,0.1167,240,-13.41134048393859,5831.721163453412,0.1524501742393583
2023-07-01~2024-01-01,smc_loose,1.05,0.004,-5.287074,0.1186,253,-14.146064051148723,6498.277387698661,0.1394505686114598
2023-07-01~2024-01-01,smc_loose,1.05,0.005,-4.713339,0.1213,239,-13.193842633818003,5793.21558257296,0.15947690101348985
2023-07-01~2024-01-01,smc_loose,1.1,0.002,-4.871525,0.1061,132,-12.936960909879069,0.0,0.12067359457283688
2023-07-01~2024-01-01,smc_loose,1.1,0.003,-5.659439,0.1053,152,-13.631483535815907,6955.876560718824,0.09546168197629673
2023-07-01~2024-01-01,smc_loose,1.1,0.004,-8.113338,0.0933,193,-15.186101301421074,9971.469412874787,0.07917087790343579
2023-07-01~2024-01-01,smc_loose,1.1,0.005,-6.651633,0.0994,171,-14.044762055538683,8175.182464691191,0.09555184060007177
2023-07-01~2024-01-01,smc_loose,1.15,0.002,-7.382148,0.0593,118,-15.362593028259079,0.0,0.059327315116649834
2023-07-01~2024-01-01,smc_loose,1.15,0.003,-8.057712,0.0672,134,-15.025129803786559,9903.111207937418,0.055900730530909035
2023-07-01~2024-01-01,smc_loose,1.15,0.004,-10.22048,0.0637,157,-16.228167806653516,12560.933440057473,0.04471432299771496
2023-07-01~2024-01-01,smc_loose,1.15,0.005,-8.207018,0.0667,135,-15.167682630032942,10086.593270731262,0.055640557872610304
2023-07-01~2024-01-01,smc_loose,1.2,0.002,-7.095986,0.0526,95,-14.05459557051404,0.0,0.05540646444998917
2023-07-01~2024-01-01,smc_loose,1.2,0.003,-8.342311,0.0789,114,-13.973811711057401,10468.796563142501,0.04924818400448718
2023-07-01~2024-01-01,smc_loose,1.2,0.004,-11.407454,0.0657,137,-15.689888214863492,14235.54655081055,0.03649144235207173
2023-07-01~2024-01-01,smc_loose,1.2,0.005,-9.153485,0.0684,117,-14.775721849306569,11465.647193728008,0.044943571228507055
