區間,strategy,tp_r,tol_fvg,總損益,勝率,單數
2023-07-01~2024-01-01,smc,1.05,0.002,7849.3399999999965,0.23684210526315788,38
2023-07-01~2024-01-01,smc,1.05,0.003,7849.3399999999965,0.23684210526315788,38
2023-07-01~2024-01-01,smc,1.05,0.004,7849.3399999999965,0.23684210526315788,38
2023-07-01~2024-01-01,smc,1.05,0.005,7849.3399999999965,0.23684210526315788,38
2023-07-01~2024-01-01,smc,1.1,0.002,7052.809999999994,0.125,32
2023-07-01~2024-01-01,smc,1.1,0.003,7052.809999999994,0.125,32
2023-07-01~2024-01-01,smc,1.1,0.004,7052.809999999994,0.125,32
2023-07-01~2024-01-01,smc,1.1,0.005,7052.809999999994,0.125,32
2023-07-01~2024-01-01,smc,1.15,0.002,9517.269999999997,0.14285714285714285,21
2023-07-01~2024-01-01,smc,1.15,0.003,9517.269999999997,0.14285714285714285,21
2023-07-01~2024-01-01,smc,1.15,0.004,9517.269999999997,0.14285714285714285,21
2023-07-01~2024-01-01,smc,1.15,0.005,9517.269999999997,0.14285714285714285,21
2023-07-01~2024-01-01,smc,1.2,0.002,-198.9600000000064,0.05,20
2023-07-01~2024-01-01,smc,1.2,0.003,-198.9600000000064,0.05,20
2023-07-01~2024-01-01,smc,1.2,0.004,-198.9600000000064,0.05,20
2023-07-01~2024-01-01,smc,1.2,0.005,-198.9600000000064,0.05,20
2023-07-01~2024-01-01,smc_loose,1.05,0.002,9980.25,0.23943661971830985,71
2023-07-01~2024-01-01,smc_loose,1.05,0.003,9980.25,0.23943661971830985,71
2023-07-01~2024-01-01,smc_loose,1.05,0.004,9980.25,0.23943661971830985,71
2023-07-01~2024-01-01,smc_loose,1.05,0.005,9980.25,0.23943661971830985,71
2023-07-01~2024-01-01,smc_loose,1.1,0.002,9813.510000000006,0.21875,32
2023-07-01~2024-01-01,smc_loose,1.1,0.003,9813.510000000006,0.21875,32
2023-07-01~2024-01-01,smc_loose,1.1,0.004,9813.510000000006,0.21875,32
2023-07-01~2024-01-01,smc_loose,1.1,0.005,9813.510000000006,0.21875,32
2023-07-01~2024-01-01,smc_loose,1.15,0.002,10907.419999999995,0.17391304347826086,23
2023-07-01~2024-01-01,smc_loose,1.15,0.003,10907.419999999995,0.17391304347826086,23
2023-07-01~2024-01-01,smc_loose,1.15,0.004,10907.419999999995,0.17391304347826086,23
2023-07-01~2024-01-01,smc_loose,1.15,0.005,10907.419999999995,0.17391304347826086,23
2023-07-01~2024-01-01,smc_loose,1.2,0.002,9491.309999999998,0.14285714285714285,21
2023-07-01~2024-01-01,smc_loose,1.2,0.003,9491.309999999998,0.14285714285714285,21
2023-07-01~2024-01-01,smc_loose,1.2,0.004,9491.309999999998,0.14285714285714285,21
2023-07-01~2024-01-01,smc_loose,1.2,0.005,9491.309999999998,0.14285714285714285,21
