區間,strategy,tp_r,tol_fvg,總損益_pct,勝率,單數,sharpe,max_drawdown,profit_factor
2025-07-01~2026-01-01,smc,1.05,0.002,-0.102,0.0,2,-1.3209523122974076e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.05,0.003,-0.102,0.0,2,-1.3209523122974076e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.05,0.004,-0.102,0.0,2,-1.3209523122974076e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.05,0.005,-0.102,0.0,2,-1.3209523122974076e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.1,0.002,-0.202,0.0,2,-9.831789357151256e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.1,0.003,-0.202,0.0,2,-9.831789357151256e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.1,0.004,-0.202,0.0,2,-9.831789357151256e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.1,0.005,-0.202,0.0,2,-9.831789357151256e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.15,0.002,-0.302,0.0,2,-2.8827133867604184e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.15,0.003,-0.302,0.0,2,-2.8827133867604184e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.15,0.004,-0.302,0.0,2,-2.8827133867604184e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.15,0.005,-0.302,0.0,2,-2.8827133867604184e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.2,0.002,-0.402,0.0,2,-4.891558566305449e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.2,0.003,-0.402,0.0,2,-4.891558566305449e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.2,0.004,-0.402,0.0,2,-4.891558566305449e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.2,0.005,-0.402,0.0,2,-4.891558566305449e+16,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.05,0.002,-1.170989,0.1064,47,-15.031738232374535,0.0,0.14427293896536775
2025-07-01~2026-01-01,smc_loose,1.05,0.003,-1.085922,0.1111,45,-14.572835335317894,0.0,0.15383614206850552
2025-07-01~2026-01-01,smc_loose,1.05,0.004,-1.090297,0.1111,45,-14.654891252589229,0.0,0.15331352222588293
2025-07-01~2026-01-01,smc_loose,1.05,0.005,-0.900329,0.119,42,-12.988266129271684,0.0,0.17984471611284217
2025-07-01~2026-01-01,smc_loose,1.1,0.002,-0.956256,0.1579,19,-14.06533678498607,0.0,0.17256071277952112
2025-07-01~2026-01-01,smc_loose,1.1,0.003,-1.167343,0.1304,23,-14.88239321949025,0.0,0.14590998838384503
2025-07-01~2026-01-01,smc_loose,1.1,0.004,-1.167343,0.1304,23,-14.88239321949025,0.0,0.14590998838384503
2025-07-01~2026-01-01,smc_loose,1.1,0.005,-0.880789,0.1364,22,-11.88812407554029,0.0,0.18461637714564805
2025-07-01~2026-01-01,smc_loose,1.15,0.002,-0.921223,0.0909,11,-15.633563556503917,0.0,0.1392233816565705
2025-07-01~2026-01-01,smc_loose,1.15,0.003,-0.769843,0.1111,9,-15.137343950156273,0.0,0.1621605183189088
2025-07-01~2026-01-01,smc_loose,1.15,0.004,-0.769843,0.1111,9,-15.137343950156273,0.0,0.1621605183189088
2025-07-01~2026-01-01,smc_loose,1.15,0.005,-2.048053,0.04,25,-18.36277220403024,0.0,0.0678181318650677
2025-07-01~2026-01-01,smc_loose,1.2,0.002,-2.862999,0.0455,22,-21.786908705993525,0.0,0.06499022154750086
2025-07-01~2026-01-01,smc_loose,1.2,0.003,-3.070769,0.0417,24,-21.637811272751208,0.0,0.060860574090223066
2025-07-01~2026-01-01,smc_loose,1.2,0.004,-3.081111,0.04,25,-20.824744848233077,0.0,0.060668678637084014
2025-07-01~2026-01-01,smc_loose,1.2,0.005,-2.489789,0.0435,23,-17.831119854176453,0.0,0.07401102098926045
