區間,strategy,tp_r,tol_fvg,總損益_pct,勝率,單數,sharpe,max_drawdown,profit_factor
2023-01-01~2023-07-01,smc,1.05,0.002,-1.667434,0.1343,67,-16.21604697406219,0.0,0.12147198972838096
2023-01-01~2023-07-01,smc,1.05,0.003,-1.667434,0.1343,67,-16.21604697406219,0.0,0.12147198972838096
2023-01-01~2023-07-01,smc,1.05,0.004,-1.667434,0.1343,67,-16.21604697406219,0.0,0.12147198972838096
2023-01-01~2023-07-01,smc,1.05,0.005,-1.667434,0.1343,67,-16.21604697406219,0.0,0.12147198972838096
2023-01-01~2023-07-01,smc,1.1,0.002,-3.199198,0.125,64,-16.590010046904766,0.0,0.09390415021597635
2023-01-01~2023-07-01,smc,1.1,0.003,-3.199198,0.125,64,-16.590010046904766,0.0,0.09390415021597635
2023-01-01~2023-07-01,smc,1.1,0.004,-3.199198,0.125,64,-16.590010046904766,0.0,0.09390415021597635
2023-01-01~2023-07-01,smc,1.1,0.005,-3.199198,0.125,64,-16.590010046904766,0.0,0.09390415021597635
2023-01-01~2023-07-01,smc,1.15,0.002,-4.699198,0.125,64,-16.127287865740527,0.0,0.09295026376027148
2023-01-01~2023-07-01,smc,1.15,0.003,-4.699198,0.125,64,-16.127287865740527,0.0,0.09295026376027148
2023-01-01~2023-07-01,smc,1.15,0.004,-4.699198,0.125,64,-16.127287865740527,0.0,0.09295026376027148
2023-01-01~2023-07-01,smc,1.15,0.005,-4.699198,0.125,64,-16.127287865740527,0.0,0.09295026376027148
2023-01-01~2023-07-01,smc,1.2,0.002,-5.954464,0.0926,54,-19.848533825367788,0.0,0.03674652085848132
2023-01-01~2023-07-01,smc,1.2,0.003,-5.954464,0.0926,54,-19.848533825367788,0.0,0.03674652085848132
2023-01-01~2023-07-01,smc,1.2,0.004,-5.954464,0.0926,54,-19.848533825367788,0.0,0.03674652085848132
2023-01-01~2023-07-01,smc,1.2,0.005,-5.954464,0.0926,54,-19.848533825367788,0.0,0.03674652085848132
2023-01-01~2023-07-01,smc_loose,1.05,0.002,-11.631806,0.0984,508,-15.42000906697329,0.0,0.1186982039372777
2023-01-01~2023-07-01,smc_loose,1.05,0.003,-10.742773,0.1058,482,-14.66706812094736,0.0,0.1374082639152148
2023-01-01~2023-07-01,smc_loose,1.05,0.004,-11.197061,0.0978,491,-15.064657671354936,0.0,0.13126489486407858
2023-01-01~2023-07-01,smc_loose,1.05,0.005,-10.571611,0.1021,480,-14.54195441448035,0.0,0.13840546490241204
2023-01-01~2023-07-01,smc_loose,1.1,0.002,-11.31269,0.0667,240,-16.224318256592863,0.0,0.08285820756291723
2023-01-01~2023-07-01,smc_loose,1.1,0.003,-9.792057,0.0773,220,-15.249552759312207,0.0,0.09495685803115801
2023-01-01~2023-07-01,smc_loose,1.1,0.004,-9.292798,0.0758,211,-15.046389503405496,0.0,0.09894592162000504
2023-01-01~2023-07-01,smc_loose,1.1,0.005,-8.386543,0.08,200,-14.322117231323867,0.0,0.1084782120228353
2023-01-01~2023-07-01,smc_loose,1.15,0.002,-15.088093,0.0476,210,-16.74283072258553,0.0,0.0658195370456177
2023-01-01~2023-07-01,smc_loose,1.15,0.003,-13.265481,0.0615,195,-15.797762796478818,0.0,0.07467756797261195
2023-01-01~2023-07-01,smc_loose,1.15,0.004,-13.13819,0.0558,197,-15.546699598928297,0.0,0.07489567439983018
2023-01-01~2023-07-01,smc_loose,1.15,0.005,-11.771938,0.0595,185,-14.817849698479021,0.0,0.08286775323710564
2023-01-01~2023-07-01,smc_loose,1.2,0.002,-14.319495,0.051,157,-16.00524845954388,0.0,0.06520765322282877
2023-01-01~2023-07-01,smc_loose,1.2,0.003,-13.073997,0.0552,145,-15.702953191014117,0.0,0.07087451619147243
2023-01-01~2023-07-01,smc_loose,1.2,0.004,-12.677534,0.0625,144,-15.358845327627865,0.0,0.07310892352468422
2023-01-01~2023-07-01,smc_loose,1.2,0.005,-10.86968,0.0672,134,-14.19245758975882,0.0,0.08424409263372708
